32500,6.6962,0.78,2025-12-30T17:18:36.914125
33000,6.7105,0.15,2025-12-30T17:25:14.738241
33500,6.6883,0.55,2025-12-30T17:32:05.720575
34000,7.2178,0.50,2025-12-30T17:38:39.824337
34500,6.2475,0.73,2025-12-30T17:45:29.763381
35000,7.1747,0.71,2025-12-30T17:52:02.736519
35500,6.5323,0.73,2025-12-30T17:58:56.862185
36000,6.6237,0.67,2025-12-30T18:05:29.329837
36500,6.9757,0.72,2025-12-30T18:12:20.633544
37000,7.1734,0.65,2025-12-30T18:18:54.717166
37500,8.3846,0.78,2025-12-30T18:25:48.538548
38000,7.9519,0.83,2025-12-30T18:32:24.139387
38500,6.8743,0.70,2025-12-30T18:39:17.468993
39000,6.2032,0.67,2025-12-30T18:45:52.550736
39500,7.0284,0.63,2025-12-30T18:52:45.688241
40000,5.8332,0.71,2025-12-30T18:59:20.851890
40500,6.8657,0.77,2025-12-30T19:06:14.819049
41000,7.0949,0.77,2025-12-30T19:12:50.067064
41500,6.0032,0.69,2025-12-30T19:19:42.265541
42000,7.0533,0.74,2025-12-30T19:26:15.243268
42500,5.6949,0.69,2025-12-30T19:33:07.460416
43000,7.3660,0.71,2025-12-30T19:39:41.750693
43500,6.8352,0.80,2025-12-30T19:46:32.659668
44000,7.4753,0.72,2025-12-30T19:53:07.676441
44500,6.6018,0.74,2025-12-30T20:00:13.145672
45000,6.6711,0.80,2025-12-30T20:06:48.076780
45500,7.4446,0.79,2025-12-30T20:13:39.846426
46000,6.5428,0.73,2025-12-30T20:20:14.640403
46500,6.9356,0.77,2025-12-30T20:27:08.111894
47000,7.1857,0.77,2025-12-30T20:33:42.620374
47500,6.4045,0.70,2025-12-30T20:40:35.053413
48000,6.8396,0.69,2025-12-30T20:47:10.377251
48500,6.0875,0.73,2025-12-30T20:54:02.326202
49000,8.0376,0.73,2025-12-30T21:00:37.845148
49500,6.8236,0.73,2025-12-30T21:07:30.807489
50000,6.8127,0.66,2025-12-30T21:14:06.717012
50500,7.7971,0.67,2025-12-30T21:21:02.803071
51000,7.1158,0.68,2025-12-30T21:27:38.841762
51500,5.9850,0.09,2025-12-30T21:34:48.748960
52000,6.1618,0.13,2025-12-30T21:41:35.258861
52500,6.7608,0.49,2025-12-30T21:48:40.446033
53000,7.0631,0.47,2025-12-30T21:55:59.154154
53500,8.3904,0.71,2025-12-30T22:03:38.053180
54000,6.8497,0.49,2025-12-30T22:10:39.666433
54500,7.0539,0.77,2025-12-30T22:17:30.844022
55000,7.2384,0.76,2025-12-30T22:24:04.666366
55500,7.1830,0.81,2025-12-30T22:30:55.376513
56000,6.0289,0.80,2025-12-30T22:37:27.315060
56500,6.4411,0.80,2025-12-30T22:44:17.976138
57000,6.7607,0.81,2025-12-30T22:50:49.978047
57500,7.0219,0.72,2025-12-30T22:57:39.709790
58000,6.8062,0.76,2025-12-30T23:04:13.113326
58500,7.0925,0.80,2025-12-30T23:11:03.229299
59000,7.2659,0.71,2025-12-30T23:17:36.698535
59500,6.4270,0.68,2025-12-30T23:24:36.751923
60000,6.7716,0.69,2025-12-30T23:31:08.935173
60500,6.6917,0.71,2025-12-30T23:38:01.269301
61000,6.4526,0.75,2025-12-30T23:44:35.683703
61500,6.4094,0.66,2025-12-30T23:51:29.445363
62000,6.8191,0.65,2025-12-30T23:58:05.114207
62500,7.7170,0.65,2025-12-31T00:04:58.612352
63000,6.6928,0.64,2025-12-31T00:11:33.616517
63500,7.5431,0.67,2025-12-31T00:18:27.564129
64000,7.3310,0.63,2025-12-31T00:25:03.528639
64500,6.9972,0.64,2025-12-31T00:31:58.585220
65000,6.9343,0.69,2025-12-31T00:38:34.969496
65500,7.0373,0.81,2025-12-31T00:45:25.539236
66000,7.0068,0.75,2025-12-31T00:51:59.000922
66500,8.6976,0.68,2025-12-31T00:59:02.274352
67000,7.2416,0.68,2025-12-31T01:05:35.635051
67500,7.2277,0.73,2025-12-31T01:12:26.823871
68000,7.1193,0.76,2025-12-31T01:19:00.595323
68500,7.1558,0.69,2025-12-31T01:25:51.635533
69000,7.2318,0.66,2025-12-31T01:32:24.589361
69500,8.3969,0.72,2025-12-31T01:39:15.991704
70000,6.7283,0.78,2025-12-31T01:45:48.531540
70500,6.0751,0.77,2025-12-31T01:52:43.103107
71000,7.0607,0.74,2025-12-31T01:59:20.489356
71500,6.7654,0.71,2025-12-31T02:06:13.803679
72000,6.7745,0.66,2025-12-31T02:12:48.955245
72500,6.8799,0.73,2025-12-31T02:19:43.113922
73000,6.4537,0.77,2025-12-31T02:26:19.140011
73500,8.4789,0.65,2025-12-31T02:33:12.898642
74000,6.6847,0.63,2025-12-31T02:39:49.255668
74500,7.0235,0.65,2025-12-31T02:46:51.086608
75000,6.6929,0.71,2025-12-31T02:53:23.798463
75500,6.6576,0.77,2025-12-31T03:00:15.080528
76000,6.5515,0.72,2025-12-31T03:06:46.908087
76500,6.9364,0.71,2025-12-31T03:13:37.740918
77000,6.9706,0.69,2025-12-31T03:20:09.871334
77500,6.4263,0.65,2025-12-31T03:27:00.889711
78000,6.7893,0.73,2025-12-31T03:33:33.387339
78500,6.5797,0.78,2025-12-31T03:40:23.935752
79000,5.3187,0.78,2025-12-31T03:46:56.024153
79500,7.0513,0.69,2025-12-31T03:53:47.900388
80000,6.1970,0.71,2025-12-31T04:00:24.893167
80500,7.6862,0.68,2025-12-31T04:07:19.419966
81000,7.6453,0.66,2025-12-31T04:13:55.570142
81500,7.1978,0.65,2025-12-31T04:20:59.408001
82000,6.1694,0.66,2025-12-31T04:27:34.846249
82500,6.6733,0.66,2025-12-31T04:34:28.381340
83000,7.5564,0.68,2025-12-31T04:41:04.131427
83500,7.4581,0.75,2025-12-31T04:47:57.569174
