step,loss,probe_accuracy,timestamp
71000,4.211416,,2026-01-01T09:43:21.661164
71000,4.211416,0.8667,2026-01-01T09:43:21.909263
71500,4.231212,,2026-01-01T09:45:44.137737
72000,4.294021,,2026-01-01T09:48:04.010990
72000,4.294021,0.8667,2026-01-01T09:48:04.319329
72500,4.233056,,2026-01-01T09:50:24.749577
73000,4.188091,,2026-01-01T09:52:43.639129
73000,4.188091,0.8000,2026-01-01T09:52:43.876545
73500,4.180761,,2026-01-01T09:55:04.148253
74000,4.187118,,2026-01-01T09:57:23.685849
74000,4.187118,0.9333,2026-01-01T09:57:23.923843
74500,4.191017,,2026-01-01T09:59:44.900069
75000,4.160499,,2026-01-01T10:02:04.236666
75000,4.160499,0.8667,2026-01-01T10:02:04.541257
75500,4.146643,,2026-01-01T10:04:26.071444
76000,4.241575,,2026-01-01T10:06:45.691397
76000,4.241575,0.8000,2026-01-01T10:06:46.030167
76500,4.171349,,2026-01-01T10:09:07.606225
77000,4.168930,,2026-01-01T10:11:27.555802
77000,4.168930,0.8667,2026-01-01T10:11:27.859567
77500,4.121668,,2026-01-01T10:13:49.191570
78000,4.185621,,2026-01-01T10:16:08.783764
78000,4.185621,0.8000,2026-01-01T10:16:09.019309
78500,4.134200,,2026-01-01T10:18:30.292327
79000,4.154231,,2026-01-01T10:20:49.992370
79000,4.154231,0.8667,2026-01-01T10:20:50.229856
79500,4.106122,,2026-01-01T10:23:11.480259
80000,4.080468,,2026-01-01T10:25:30.375270
80000,4.080468,0.8667,2026-01-01T10:25:30.610899
80500,4.129891,,2026-01-01T10:27:51.771312
81000,4.242366,,2026-01-01T10:30:11.210759
81000,4.242366,0.8667,2026-01-01T10:30:11.442216
81500,4.179263,,2026-01-01T10:32:32.430363
82000,4.172472,,2026-01-01T10:34:51.690391
82000,4.172472,0.8667,2026-01-01T10:34:51.925327
82500,4.201757,,2026-01-01T10:37:12.568366
83000,4.198332,,2026-01-01T10:39:31.888692
83000,4.198332,0.8667,2026-01-01T10:39:32.121362
83500,4.190106,,2026-01-01T10:41:53.385843
84000,4.188505,,2026-01-01T10:44:13.164041
84000,4.188505,0.7333,2026-01-01T10:44:13.395363
84500,4.105263,,2026-01-01T10:46:34.839195
85000,4.096665,,2026-01-01T10:48:54.513972
85000,4.096665,0.7333,2026-01-01T10:48:54.749381
85500,4.186654,,2026-01-01T10:51:16.016827
86000,4.168097,,2026-01-01T10:53:35.597640
86000,4.168097,0.8000,2026-01-01T10:53:35.842651
86500,4.141054,,2026-01-01T10:55:57.188009
87000,4.097833,,2026-01-01T10:58:17.005952
87000,4.097833,0.8000,2026-01-01T10:58:17.250828
87500,4.045511,,2026-01-01T11:00:38.360712
88000,4.177878,,2026-01-01T11:02:57.703996
88000,4.177878,0.8667,2026-01-01T11:02:57.948770
