step,category,accuracy,mean_log_ratio,correct,total,timestamp
12000,number,0.00,-2.5756,0,2,2025-12-28T12:11:51.553282
12000,article_gender,50.00,1.0684,1,2,2025-12-28T12:11:51.553296
12000,collocation,50.00,0.0000,1,2,2025-12-28T12:11:51.553308
13000,gender,100.00,1.2465,4,4,2025-12-28T12:41:29.821344
13000,number,0.00,-1.1640,0,2,2025-12-28T12:41:29.821362
13000,article_gender,50.00,0.0000,1,2,2025-12-28T12:41:29.821374
13000,collocation,0.00,-0.0000,0,2,2025-12-28T12:41:29.821386
14000,gender,100.00,3.8597,4,4,2025-12-28T13:11:14.139772
14000,number,0.00,-3.3450,0,2,2025-12-28T13:11:14.139791
14000,article_gender,100.00,0.0000,2,2,2025-12-28T13:11:14.139805
14000,collocation,50.00,0.0000,1,2,2025-12-28T13:11:14.139817
15000,gender,100.00,1.0123,4,4,2025-12-28T13:40:56.969199
15000,number,0.00,-0.0003,0,2,2025-12-28T13:40:56.969218
15000,article_gender,50.00,0.0000,1,2,2025-12-28T13:40:56.969232
15000,collocation,50.00,0.0000,1,2,2025-12-28T13:40:56.969243
16000,gender,100.00,0.7392,4,4,2025-12-28T14:10:37.686316
16000,number,0.00,-0.0922,0,2,2025-12-28T14:10:37.686335
16000,article_gender,50.00,-0.0000,1,2,2025-12-28T14:10:37.686347
16000,collocation,50.00,0.0000,1,2,2025-12-28T14:10:37.686359
17000,gender,100.00,1.0779,4,4,2025-12-28T14:40:22.514781
17000,number,0.00,-0.0249,0,2,2025-12-28T14:40:22.514799
17000,article_gender,50.00,0.0000,1,2,2025-12-28T14:40:22.514812
17000,collocation,50.00,-0.0000,1,2,2025-12-28T14:40:22.514823
18000,gender,100.00,0.5362,4,4,2025-12-28T15:10:10.210766
18000,number,0.00,-0.0174,0,2,2025-12-28T15:10:10.210785
18000,article_gender,50.00,0.0000,1,2,2025-12-28T15:10:10.210798
18000,collocation,50.00,-0.0000,1,2,2025-12-28T15:10:10.210810
19000,gender,100.00,6.5467,4,4,2025-12-28T15:39:59.163387
19000,number,0.00,-0.7930,0,2,2025-12-28T15:39:59.163405
19000,article_gender,50.00,0.0000,1,2,2025-12-28T15:39:59.163419
19000,collocation,0.00,0.0000,0,2,2025-12-28T15:39:59.163430
20000,gender,100.00,0.2099,4,4,2025-12-28T16:09:46.145211
20000,number,0.00,-0.0130,0,2,2025-12-28T16:09:46.145230
20000,article_gender,50.00,0.0000,1,2,2025-12-28T16:09:46.145243
20000,collocation,50.00,-0.0000,1,2,2025-12-28T16:09:46.145255
21000,gender,100.00,0.2324,4,4,2025-12-28T16:39:25.956800
21000,number,0.00,-0.0528,0,2,2025-12-28T16:39:25.956818
21000,article_gender,50.00,0.0000,1,2,2025-12-28T16:39:25.956831
21000,collocation,50.00,0.0000,1,2,2025-12-28T16:39:25.956842
22000,gender,100.00,0.0196,4,4,2025-12-28T17:09:08.273608
22000,number,0.00,-0.0005,0,2,2025-12-28T17:09:08.273627
22000,article_gender,100.00,0.0000,2,2,2025-12-28T17:09:08.273641
22000,collocation,50.00,0.0000,1,2,2025-12-28T17:09:08.273653
23000,gender,100.00,1.4171,4,4,2025-12-28T18:08:47.688918
23000,number,0.00,-0.2384,0,2,2025-12-28T18:08:47.688934
23000,article_gender,50.00,0.0000,1,2,2025-12-28T18:08:47.688945
23000,collocation,50.00,-0.0000,1,2,2025-12-28T18:08:47.688955
24000,gender,100.00,2.5826,4,4,2025-12-28T19:43:31.097862
24000,number,0.00,-1.8739,0,2,2025-12-28T19:43:31.097892
24000,article_gender,50.00,0.0000,1,2,2025-12-28T19:43:31.097904
24000,collocation,50.00,-0.0000,1,2,2025-12-28T19:43:31.097914
25000,gender,100.00,0.0134,4,4,2025-12-28T21:24:09.450823
25000,number,0.00,-0.0016,0,2,2025-12-28T21:24:09.450838
25000,article_gender,50.00,0.0000,1,2,2025-12-28T21:24:09.450849
25000,collocation,0.00,-0.0000,0,2,2025-12-28T21:24:09.450860
26000,gender,100.00,1.7263,4,4,2025-12-28T23:04:44.798216
26000,number,0.00,-0.3303,0,2,2025-12-28T23:04:44.798232
26000,article_gender,50.00,0.0000,1,2,2025-12-28T23:04:44.798242
26000,collocation,0.00,-0.0000,0,2,2025-12-28T23:04:44.798251
27000,gender,100.00,2.2529,4,4,2025-12-29T00:40:07.133704
27000,number,0.00,-0.3841,0,2,2025-12-29T00:40:07.133738
27000,article_gender,50.00,0.0000,1,2,2025-12-29T00:40:07.133752
27000,collocation,0.00,-0.0000,0,2,2025-12-29T00:40:07.133764
28000,gender,100.00,0.0000,4,4,2025-12-29T02:13:25.888936
28000,number,0.00,-0.0000,0,2,2025-12-29T02:13:25.888957
28000,article_gender,50.00,0.0000,1,2,2025-12-29T02:13:25.888973
28000,collocation,0.00,0.0000,0,2,2025-12-29T02:13:25.888988
29000,gender,100.00,1.8806,4,4,2025-12-29T03:47:25.764662
29000,number,0.00,-1.1847,0,2,2025-12-29T03:47:25.764681
29000,article_gender,50.00,0.0000,1,2,2025-12-29T03:47:25.764694
29000,collocation,50.00,-0.0000,1,2,2025-12-29T03:47:25.764706
30000,gender,100.00,2.4390,4,4,2025-12-29T05:21:10.677458
30000,number,0.00,-0.9798,0,2,2025-12-29T05:21:10.677492
30000,article_gender,50.00,0.0000,1,2,2025-12-29T05:21:10.677506
30000,collocation,50.00,-0.0000,1,2,2025-12-29T05:21:10.677517
31000,gender,100.00,0.9861,4,4,2025-12-29T06:54:58.598723
31000,number,0.00,-1.1884,0,2,2025-12-29T06:54:58.598738
31000,article_gender,50.00,0.0000,1,2,2025-12-29T06:54:58.598748
31000,collocation,50.00,-0.0000,1,2,2025-12-29T06:54:58.598758
32000,gender,100.00,5.2031,4,4,2025-12-29T08:30:11.989318
32000,number,0.00,-5.6974,0,2,2025-12-29T08:30:11.989337
32000,article_gender,50.00,-0.0000,1,2,2025-12-29T08:30:11.989350
32000,collocation,50.00,-0.0000,1,2,2025-12-29T08:30:11.989362
33000,gender,100.00,5.8914,4,4,2025-12-29T10:02:46.388048
33000,number,0.00,-6.3639,0,2,2025-12-29T10:02:46.388068
33000,article_gender,50.00,0.0069,1,2,2025-12-29T10:02:46.388081
33000,collocation,50.00,-0.0000,1,2,2025-12-29T10:02:46.388093
34000,gender,100.00,4.3415,4,4,2025-12-29T11:35:05.663062
34000,number,0.00,-1.9094,0,2,2025-12-29T11:35:05.663077
34000,article_gender,50.00,0.0000,1,2,2025-12-29T11:35:05.663087
34000,collocation,50.00,-0.0000,1,2,2025-12-29T11:35:05.663096
35000,gender,100.00,8.4233,4,4,2025-12-29T13:06:19.972123
35000,number,0.00,-13.9391,0,2,2025-12-29T13:06:19.972142
35000,article_gender,50.00,0.0000,1,2,2025-12-29T13:06:19.972155
35000,collocation,50.00,-0.0000,1,2,2025-12-29T13:06:19.972166
36000,gender,100.00,9.5387,4,4,2025-12-29T14:41:56.470191
36000,number,0.00,-10.4233,0,2,2025-12-29T14:41:56.470208
36000,article_gender,50.00,0.0000,1,2,2025-12-29T14:41:56.470220
36000,collocation,0.00,-0.0000,0,2,2025-12-29T14:41:56.470231
37000,gender,100.00,12.7409,4,4,2025-12-29T16:18:27.574885
37000,number,0.00,-15.8178,0,2,2025-12-29T16:18:27.574903
37000,article_gender,50.00,0.0001,1,2,2025-12-29T16:18:27.574915
37000,collocation,0.00,-0.0000,0,2,2025-12-29T16:18:27.574927
38000,gender,100.00,4.4125,4,4,2025-12-29T17:54:49.234981
38000,number,0.00,-6.7440,0,2,2025-12-29T17:54:49.234997
38000,article_gender,50.00,0.0000,1,2,2025-12-29T17:54:49.235007
38000,collocation,50.00,-0.0000,1,2,2025-12-29T17:54:49.235016
39000,gender,100.00,4.9103,4,4,2025-12-29T19:35:52.817159
39000,number,0.00,-5.2039,0,2,2025-12-29T19:35:52.817173
39000,article_gender,50.00,0.0000,1,2,2025-12-29T19:35:52.817183
39000,collocation,50.00,-0.0000,1,2,2025-12-29T19:35:52.817193
40000,gender,100.00,2.7927,4,4,2025-12-29T21:17:25.441694
40000,number,0.00,-4.2266,0,2,2025-12-29T21:17:25.441708
40000,article_gender,50.00,-0.0000,1,2,2025-12-29T21:17:25.441719
40000,collocation,50.00,-0.0000,1,2,2025-12-29T21:17:25.441728
