step,loss,ppl,grammar_acc,grammar_lr,timestamp
113000,4.858350,128.81,0.8000,1.5318,2026-01-01T09:13:08.088998
113500,4.911408,135.83,,,2026-01-01T09:16:12.027734
114000,5.003582,148.95,,,2026-01-01T09:19:10.842401
114000,5.003582,148.95,0.6000,1.2989,2026-01-01T09:19:10.958874
114500,4.570694,96.61,,,2026-01-01T09:22:15.798243
115000,4.956069,142.03,,,2026-01-01T09:25:14.710545
115000,4.956069,142.03,0.6000,1.0520,2026-01-01T09:25:14.827405
115500,4.827011,124.84,,,2026-01-01T09:28:20.112571
116000,4.415464,82.72,,,2026-01-01T09:31:18.928352
116000,4.415464,82.72,0.6000,0.8513,2026-01-01T09:31:19.044648
116500,4.973584,144.54,,,2026-01-01T09:34:22.648040
117000,4.753471,115.99,,,2026-01-01T09:37:21.421563
117000,4.753471,115.99,0.8000,1.2626,2026-01-01T09:37:21.539023
117500,5.038766,154.28,,,2026-01-01T09:40:26.004208
118000,4.900211,134.32,,,2026-01-01T09:43:24.776697
118000,4.900211,134.32,0.6000,0.9801,2026-01-01T09:43:24.897575
118500,5.222847,185.46,,,2026-01-01T09:46:28.949247
119000,4.838634,126.30,,,2026-01-01T09:49:27.774239
119000,4.838634,126.30,1.0000,1.7174,2026-01-01T09:49:27.874174
119500,4.824939,124.58,,,2026-01-01T09:52:32.046949
120000,4.782903,119.45,,,2026-01-01T09:55:30.822725
120000,4.782903,119.45,1.0000,1.8074,2026-01-01T09:55:30.946941
120500,4.530157,92.77,,,2026-01-01T09:58:35.805902
121000,4.614343,100.92,,,2026-01-01T10:01:34.499701
121000,4.614343,100.92,0.6000,1.7904,2026-01-01T10:01:34.599118
121500,4.634542,102.98,,,2026-01-01T10:04:38.720127
122000,4.488276,88.97,,,2026-01-01T10:07:37.471654
122000,4.488276,88.97,0.6000,1.1931,2026-01-01T10:07:37.590956
122500,4.517182,91.58,,,2026-01-01T10:10:41.124511
123000,4.648182,104.40,,,2026-01-01T10:13:39.895983
123000,4.648182,104.40,0.6000,1.6953,2026-01-01T10:13:39.995337
123500,4.653933,105.00,,,2026-01-01T10:16:43.897760
124000,4.556199,95.22,,,2026-01-01T10:19:42.557656
124000,4.556199,95.22,1.0000,1.9385,2026-01-01T10:19:42.679296
124500,3.610009,36.97,,,2026-01-01T10:22:46.774437
125000,4.468226,87.20,,,2026-01-01T10:25:45.622958
125000,4.468226,87.20,0.8000,2.2311,2026-01-01T10:25:45.721793
125500,4.391281,80.74,,,2026-01-01T10:28:49.491613
126000,4.649725,104.56,,,2026-01-01T10:31:48.168582
