step,loss,ppl,grammar_acc,grammar_lr,timestamp
94000,6.273791,530.48,0.8000,0.1897,2026-01-01T07:17:37.527728
94500,5.974409,393.24,,,2026-01-01T07:20:40.590575
95000,5.979966,395.43,,,2026-01-01T07:23:38.360423
95000,5.979966,395.43,0.6000,0.2005,2026-01-01T07:23:38.474782
95500,6.064578,430.34,,,2026-01-01T07:26:42.140189
96000,5.863526,351.96,,,2026-01-01T07:29:39.779148
96000,5.863526,351.96,0.8000,0.1842,2026-01-01T07:29:39.910595
96500,5.738264,310.52,,,2026-01-01T07:32:42.753652
97000,5.571204,262.75,,,2026-01-01T07:35:40.328286
97000,5.571204,262.75,0.6000,0.2077,2026-01-01T07:35:40.444688
97500,5.968313,390.85,,,2026-01-01T07:38:44.237260
98000,5.826765,339.26,,,2026-01-01T07:41:41.886768
98000,5.826765,339.26,0.6000,0.2235,2026-01-01T07:41:41.984875
98500,5.419134,225.68,,,2026-01-01T07:44:44.828823
99000,5.619709,275.81,,,2026-01-01T07:47:42.474977
99000,5.619709,275.81,0.8000,0.4263,2026-01-01T07:47:42.582731
99500,5.373855,215.69,,,2026-01-01T07:50:46.628334
100000,5.449078,232.54,,,2026-01-01T07:53:44.204396
100000,5.449078,232.54,0.6000,0.4160,2026-01-01T07:53:44.305264
100500,5.566770,261.59,,,2026-01-01T07:56:47.978302
101000,5.484634,240.96,,,2026-01-01T07:59:45.817098
101000,5.484634,240.96,0.8000,0.3918,2026-01-01T07:59:45.929496
101500,5.490600,242.40,,,2026-01-01T08:02:49.846280
102000,5.267609,193.95,,,2026-01-01T08:05:47.511179
102000,5.267609,193.95,0.6000,0.5783,2026-01-01T08:05:47.610337
102500,5.422376,226.42,,,2026-01-01T08:08:50.201714
103000,5.488394,241.87,,,2026-01-01T08:11:47.971066
103000,5.488394,241.87,0.6000,0.4445,2026-01-01T08:11:48.096518
103500,5.296795,199.70,,,2026-01-01T08:14:52.678695
104000,5.396278,220.58,,,2026-01-01T08:17:50.350646
104000,5.396278,220.58,0.6000,0.3905,2026-01-01T08:17:50.451012
104500,5.142917,171.21,,,2026-01-01T08:20:54.395913
105000,5.178098,177.35,,,2026-01-01T08:23:52.150009
105000,5.178098,177.35,0.6000,0.3903,2026-01-01T08:23:52.266722
105500,5.169055,175.75,,,2026-01-01T08:26:55.955947
106000,5.221834,185.27,,,2026-01-01T08:29:53.922622
106000,5.221834,185.27,0.6000,0.5062,2026-01-01T08:29:54.052638
106500,5.215663,184.13,,,2026-01-01T08:32:58.282625
107000,5.099781,163.99,,,2026-01-01T08:35:55.913133
107000,5.099781,163.99,0.6000,0.6429,2026-01-01T08:35:56.022938
107500,5.165687,175.16,,,2026-01-01T08:38:59.890686
108000,5.153226,172.99,,,2026-01-01T08:41:57.724373
108000,5.153226,172.99,0.6000,0.7005,2026-01-01T08:41:57.825362
108500,5.046438,155.47,,,2026-01-01T08:45:01.533798
109000,5.012372,150.26,,,2026-01-01T08:47:59.353080
109000,5.012372,150.26,0.6000,0.7636,2026-01-01T08:47:59.475682
109500,5.102290,164.40,,,2026-01-01T08:51:03.725650
110000,4.908923,135.49,,,2026-01-01T08:54:01.221303
110000,4.908923,135.49,0.8000,1.0716,2026-01-01T08:54:01.332817
110500,4.976939,145.03,,,2026-01-01T08:57:04.605132
111000,4.880553,131.70,,,2026-01-01T09:00:02.302349
111000,4.880553,131.70,0.6000,0.7441,2026-01-01T09:00:02.433243
111500,4.879850,131.61,,,2026-01-01T09:03:06.300820
112000,4.874826,130.95,,,2026-01-01T09:06:04.208448
112000,4.874826,130.95,0.4000,0.4338,2026-01-01T09:06:04.315843
112500,4.917318,136.64,,,2026-01-01T09:09:08.797321
113000,4.862946,129.40,,,2026-01-01T09:12:06.240507
113000,4.862946,129.40,0.4000,0.4972,2026-01-01T09:12:06.340550
113500,4.816908,123.58,,,2026-01-01T09:15:10.132662
114000,4.768256,117.71,,,2026-01-01T09:18:07.795194
114000,4.768256,117.71,0.6000,0.5872,2026-01-01T09:18:07.914984
114500,4.995277,147.71,,,2026-01-01T09:21:13.430757
115000,4.698455,109.78,,,2026-01-01T09:24:11.375071
115000,4.698455,109.78,0.4000,0.6827,2026-01-01T09:24:11.477092
115500,4.719335,112.09,,,2026-01-01T09:27:16.264382
116000,4.877971,131.36,,,2026-01-01T09:30:13.970994
116000,4.877971,131.36,0.6000,0.6546,2026-01-01T09:30:14.101640
116500,4.579008,97.42,,,2026-01-01T09:33:17.705876
117000,4.928241,138.14,,,2026-01-01T09:36:15.505884
117000,4.928241,138.14,0.6000,0.6208,2026-01-01T09:36:15.623737
117500,4.843114,126.86,,,2026-01-01T09:39:19.234919
118000,4.651234,104.71,,,2026-01-01T09:42:17.017478
118000,4.651234,104.71,0.4000,0.6259,2026-01-01T09:42:17.120128
118500,4.819974,123.96,,,2026-01-01T09:45:20.315392
119000,4.573569,96.89,,,2026-01-01T09:48:17.981179
119000,4.573569,96.89,0.6000,0.7104,2026-01-01T09:48:18.082868
119500,4.726939,112.95,,,2026-01-01T09:51:21.596901
120000,4.824742,124.55,,,2026-01-01T09:54:19.425783
120000,4.824742,124.55,0.6000,0.4118,2026-01-01T09:54:19.548232
120500,4.657200,105.34,,,2026-01-01T09:57:23.389819
121000,4.635612,103.09,,,2026-01-01T10:00:21.044494
121000,4.635612,103.09,0.4000,0.7113,2026-01-01T10:00:21.146997
121500,4.650983,104.69,,,2026-01-01T10:03:24.579296
122000,4.752985,115.93,,,2026-01-01T10:06:22.323062
122000,4.752985,115.93,0.6000,1.1279,2026-01-01T10:06:22.444871
122500,4.515188,91.39,,,2026-01-01T10:09:26.243284
123000,4.645786,104.15,,,2026-01-01T10:12:24.029713
123000,4.645786,104.15,0.6000,0.8850,2026-01-01T10:12:24.141603
123500,4.571631,96.70,,,2026-01-01T10:15:27.810366
124000,4.613503,100.84,,,2026-01-01T10:18:25.563596
124000,4.613503,100.84,0.6000,0.4774,2026-01-01T10:18:25.664897
124500,4.704612,110.46,,,2026-01-01T10:21:28.874941
125000,4.630851,102.60,,,2026-01-01T10:24:26.728671
125000,4.630851,102.60,0.8000,0.5136,2026-01-01T10:24:26.847128
125500,4.583920,97.90,,,2026-01-01T10:27:30.161940
126000,4.846762,127.33,,,2026-01-01T10:30:27.800621
126000,4.846762,127.33,0.6000,0.7343,2026-01-01T10:30:27.909695
126500,4.603915,99.87,,,2026-01-01T10:33:31.163677
127000,4.668705,106.56,,,2026-01-01T10:36:28.838529
127000,4.668705,106.56,0.6000,1.0088,2026-01-01T10:36:28.940161
127500,4.660416,105.68,,,2026-01-01T10:39:33.048664
128000,4.604297,99.91,,,2026-01-01T10:42:30.775360
128000,4.604297,99.91,0.6000,0.8438,2026-01-01T10:42:30.893742
128500,4.683325,108.13,,,2026-01-01T10:45:34.466992
129000,4.666514,106.33,,,2026-01-01T10:48:32.519203
129000,4.666514,106.33,0.6000,0.8304,2026-01-01T10:48:32.638198
129500,4.484772,88.66,,,2026-01-01T10:51:35.845037
130000,4.661684,105.81,,,2026-01-01T10:54:33.477564
130000,4.661684,105.81,0.6000,0.5525,2026-01-01T10:54:33.597125
130500,4.250064,70.11,,,2026-01-01T10:57:37.144624
131000,4.479738,88.21,,,2026-01-01T11:00:34.849216
131000,4.479738,88.21,0.4000,0.0900,2026-01-01T11:00:34.964587
131500,4.567774,96.33,,,2026-01-01T11:03:38.840083
132000,4.601075,99.59,,,2026-01-01T11:06:36.592594
132000,4.601075,99.59,0.6000,0.7783,2026-01-01T11:06:36.704387
132500,4.524109,92.21,,,2026-01-01T11:09:39.961795
133000,4.545859,94.24,,,2026-01-01T11:12:37.513275
133000,4.545859,94.24,0.6000,0.4517,2026-01-01T11:12:37.622942
133500,4.819031,123.84,,,2026-01-01T11:15:40.653174
134000,4.563422,95.91,,,2026-01-01T11:18:38.342809
134000,4.563422,95.91,0.6000,0.6126,2026-01-01T11:18:38.469372
134500,4.327321,75.74,,,2026-01-01T11:21:42.328116
135000,4.618463,101.34,,,2026-01-01T11:24:40.079890
135000,4.618463,101.34,0.6000,0.6146,2026-01-01T11:24:40.180632
135500,4.586276,98.13,,,2026-01-01T11:27:42.894723
136000,4.615641,101.05,,,2026-01-01T11:30:40.616019
136000,4.615641,101.05,0.6000,0.4484,2026-01-01T11:30:40.736414
136500,4.435544,84.40,,,2026-01-01T11:33:44.495539
137000,4.538604,93.56,,,2026-01-01T11:36:42.059659
137000,4.538604,93.56,0.6000,0.5483,2026-01-01T11:36:42.176390
137500,4.502034,90.20,,,2026-01-01T11:39:47.088567
138000,4.585222,98.02,,,2026-01-01T11:42:44.867685
138000,4.585222,98.02,0.6000,0.5384,2026-01-01T11:42:44.979003
138500,4.583154,97.82,,,2026-01-01T11:45:49.505784
139000,4.651369,104.73,,,2026-01-01T11:48:47.159331
139000,4.651369,104.73,0.6000,0.8951,2026-01-01T11:48:47.261478
139500,4.823753,124.43,,,2026-01-01T11:51:50.680662
140000,4.401666,81.59,,,2026-01-01T11:54:48.384685
140000,4.401666,81.59,0.6000,1.0272,2026-01-01T11:54:48.500284
140500,4.471068,87.45,,,2026-01-01T11:57:52.376079
141000,4.534019,93.13,,,2026-01-01T12:00:49.975452
141000,4.534019,93.13,0.6000,0.7893,2026-01-01T12:00:50.081027
141500,4.492595,89.35,,,2026-01-01T12:03:53.909267
142000,4.383904,80.15,,,2026-01-01T12:06:51.613021
142000,4.383904,80.15,0.6000,0.3167,2026-01-01T12:06:51.725041
142500,4.510836,91.00,,,2026-01-01T12:09:56.313897
143000,4.420050,83.10,,,2026-01-01T12:12:54.015484
143000,4.420050,83.10,0.6000,0.8711,2026-01-01T12:12:54.124547
143500,4.467822,87.17,,,2026-01-01T12:15:58.198937
144000,4.470939,87.44,,,2026-01-01T12:18:55.907128
144000,4.470939,87.44,0.4000,0.5341,2026-01-01T12:18:56.027638
144500,4.589682,98.46,,,2026-01-01T12:22:01.375644
145000,4.405292,81.88,,,2026-01-01T12:24:59.234391
145000,4.405292,81.88,0.6000,0.6656,2026-01-01T12:24:59.355845
145500,4.508251,90.76,,,2026-01-01T12:28:04.381546
146000,4.476842,87.96,,,2026-01-01T12:31:02.105697
146000,4.476842,87.96,0.6000,0.3882,2026-01-01T12:31:02.206444
146500,4.380266,79.86,,,2026-01-01T12:34:07.179226
147000,4.434900,84.34,,,2026-01-01T12:37:04.816497
147000,4.434900,84.34,0.6000,0.6085,2026-01-01T12:37:04.924926
147500,4.511855,91.09,,,2026-01-01T12:40:09.277527
148000,4.584680,97.97,,,2026-01-01T12:43:07.129505
148000,4.584680,97.97,0.4000,0.5450,2026-01-01T12:43:07.257058
148500,4.435352,84.38,,,2026-01-01T12:46:11.507377
149000,4.441674,84.92,,,2026-01-01T12:49:09.248662
149000,4.441674,84.92,0.6000,0.4702,2026-01-01T12:49:09.379341
149500,4.510026,90.92,,,2026-01-01T12:52:14.102354
150000,4.379411,79.79,,,2026-01-01T12:55:11.802660
150000,4.379411,79.79,0.6000,0.3479,2026-01-01T12:55:11.927361
150500,4.488504,88.99,,,2026-01-01T12:58:16.584307
151000,4.487918,88.94,,,2026-01-01T13:01:14.336854
151000,4.487918,88.94,0.6000,0.3853,2026-01-01T13:01:14.442588
151500,4.479957,88.23,,,2026-01-01T13:04:18.472323
152000,4.497583,89.80,,,2026-01-01T13:07:16.076612
152000,4.497583,89.80,0.6000,0.7425,2026-01-01T13:07:16.194394
152500,4.529404,92.70,,,2026-01-01T13:10:20.419198
153000,4.688968,108.74,,,2026-01-01T13:13:18.088303
153000,4.688968,108.74,0.6000,0.6679,2026-01-01T13:13:18.200549
153500,4.476607,87.94,,,2026-01-01T13:16:22.191616
154000,4.532998,93.04,,,2026-01-01T13:19:19.947649
154000,4.532998,93.04,0.4000,0.4434,2026-01-01T13:19:20.070992
154500,4.425955,83.59,,,2026-01-01T13:22:23.790683
155000,4.332271,76.12,,,2026-01-01T13:25:21.366489
155000,4.332271,76.12,0.6000,0.5476,2026-01-01T13:25:21.482800
155500,4.538316,93.53,,,2026-01-01T13:28:26.530716
156000,4.618532,101.35,,,2026-01-01T13:31:24.474601
156000,4.618532,101.35,0.6000,0.0911,2026-01-01T13:31:24.602697
156500,4.494875,89.56,,,2026-01-01T13:34:29.747645
157000,4.524220,92.22,,,2026-01-01T13:37:27.577144
157000,4.524220,92.22,0.6000,0.3918,2026-01-01T13:37:27.702220
157500,4.447696,85.43,,,2026-01-01T13:40:31.744400
158000,4.405947,81.94,,,2026-01-01T13:43:29.372352
158000,4.405947,81.94,0.6000,0.8853,2026-01-01T13:43:29.501623
158500,4.484818,88.66,,,2026-01-01T13:46:34.365888
159000,4.439396,84.72,,,2026-01-01T13:49:32.315256
159000,4.439396,84.72,0.4000,0.3994,2026-01-01T13:49:32.434340
159500,4.499606,89.98,,,2026-01-01T13:52:35.956586
160000,4.326107,75.65,,,2026-01-01T13:55:33.695610
160000,4.326107,75.65,0.6000,0.6271,2026-01-01T13:55:33.812989
160500,4.468692,87.24,,,2026-01-01T13:58:37.760779
161000,4.433892,84.26,,,2026-01-01T14:01:35.332673
161000,4.433892,84.26,0.6000,0.8649,2026-01-01T14:01:35.451246
161500,4.314343,74.76,,,2026-01-01T14:04:38.958965
162000,4.628016,102.31,,,2026-01-01T14:07:36.590938
162000,4.628016,102.31,0.8000,0.5933,2026-01-01T14:07:36.714797
162500,4.473971,87.70,,,2026-01-01T14:10:40.081756
163000,4.317022,74.97,,,2026-01-01T14:13:37.763325
163000,4.317022,74.97,0.8000,1.1231,2026-01-01T14:13:37.885961
163500,4.367751,78.87,,,2026-01-01T14:16:41.328454
164000,4.493183,89.41,,,2026-01-01T14:19:38.848381
164000,4.493183,89.41,0.6000,1.0884,2026-01-01T14:19:38.951799
164500,4.665463,106.21,,,2026-01-01T14:22:42.824364
165000,4.784252,119.61,,,2026-01-01T14:25:40.398541
165000,4.784252,119.61,0.6000,0.9269,2026-01-01T14:25:40.523781
165500,4.486013,88.77,,,2026-01-01T14:28:44.170508
166000,4.416697,82.82,,,2026-01-01T14:31:41.967426
166000,4.416697,82.82,0.6000,0.7183,2026-01-01T14:31:42.084786
166500,4.384578,80.20,,,2026-01-01T14:34:45.560440
167000,4.453461,85.92,,,2026-01-01T14:37:43.194908
167000,4.453461,85.92,0.8000,0.5049,2026-01-01T14:37:43.311846
167500,4.413480,82.56,,,2026-01-01T14:40:47.393303
168000,4.173295,64.93,,,2026-01-01T14:43:45.093970
168000,4.173295,64.93,0.6000,0.9563,2026-01-01T14:43:45.211686
168500,4.404583,81.83,,,2026-01-01T14:46:48.598402
169000,4.353239,77.73,,,2026-01-01T14:49:46.264149
169000,4.353239,77.73,0.6000,0.6472,2026-01-01T14:49:46.384599
169500,4.300868,73.76,,,2026-01-01T14:52:50.519558
170000,4.363164,78.51,,,2026-01-01T14:55:48.322938
170000,4.363164,78.51,0.6000,0.7888,2026-01-01T14:55:48.446969
170500,4.444309,85.14,,,2026-01-01T14:58:52.178892
171000,4.291660,73.09,,,2026-01-01T15:01:49.681288
171000,4.291660,73.09,0.6000,0.8711,2026-01-01T15:01:49.800884
171500,4.474504,87.75,,,2026-01-01T15:04:52.922296
172000,4.348806,77.39,,,2026-01-01T15:07:50.527039
172000,4.348806,77.39,0.6000,1.2542,2026-01-01T15:07:50.643275
172500,4.434130,84.28,,,2026-01-01T15:10:54.129662
173000,4.306445,74.18,,,2026-01-01T15:13:51.887430
173000,4.306445,74.18,0.6000,0.8892,2026-01-01T15:13:51.993412
173500,4.364814,78.63,,,2026-01-01T15:16:55.517808
174000,4.438866,84.68,,,2026-01-01T15:19:53.232979
174000,4.438866,84.68,0.6000,1.1581,2026-01-01T15:19:53.351186
174500,4.304001,74.00,,,2026-01-01T15:22:57.048789
175000,4.400660,81.50,,,2026-01-01T15:25:54.599697
175000,4.400660,81.50,0.6000,0.8724,2026-01-01T15:25:54.716553
175500,4.428597,83.81,,,2026-01-01T15:28:58.875441
176000,4.306935,74.21,,,2026-01-01T15:31:56.614589
176000,4.306935,74.21,0.6000,1.1608,2026-01-01T15:31:56.730970
176500,4.346458,77.20,,,2026-01-01T15:35:00.182175
177000,4.417928,82.92,,,2026-01-01T15:37:57.836439
177000,4.417928,82.92,0.4000,0.9552,2026-01-01T15:37:57.938500
177500,4.327984,75.79,,,2026-01-01T15:41:01.329715
178000,4.235269,69.08,,,2026-01-01T15:43:59.304477
178000,4.235269,69.08,0.6000,0.5480,2026-01-01T15:43:59.404688
178500,4.483729,88.56,,,2026-01-01T15:47:03.576109
179000,4.688750,108.72,,,2026-01-01T15:50:01.149354
179000,4.688750,108.72,0.6000,0.9746,2026-01-01T15:50:01.250073
179500,4.442631,85.00,,,2026-01-01T15:53:05.453339
180000,4.449788,85.61,,,2026-01-01T15:56:03.149831
180000,4.449788,85.61,0.6000,0.5769,2026-01-01T15:56:03.267997
180500,5.051587,156.27,,,2026-01-01T15:59:07.122168
181000,4.403567,81.74,,,2026-01-01T16:02:04.967438
181000,4.403567,81.74,0.6000,0.4598,2026-01-01T16:02:05.085924
181500,4.379295,79.78,,,2026-01-01T16:05:09.082897
182000,4.414462,82.64,,,2026-01-01T16:08:06.798070
182000,4.414462,82.64,0.6000,0.7723,2026-01-01T16:08:06.899886
182500,4.405445,81.90,,,2026-01-01T16:11:10.677993
183000,4.282809,72.44,,,2026-01-01T16:14:08.387979
183000,4.282809,72.44,0.6000,0.5213,2026-01-01T16:14:08.500324
183500,4.488811,89.02,,,2026-01-01T16:17:12.418393
184000,4.494956,89.56,,,2026-01-01T16:20:10.044521
184000,4.494956,89.56,0.4000,-0.1201,2026-01-01T16:20:10.166317
184500,4.356941,78.02,,,2026-01-01T16:23:15.092239
185000,4.514857,91.36,,,2026-01-01T16:26:12.823368
185000,4.514857,91.36,0.6000,0.7478,2026-01-01T16:26:12.921591
185500,4.476465,87.92,,,2026-01-01T16:29:17.055006
186000,4.276473,71.99,,,2026-01-01T16:32:14.610031
186000,4.276473,71.99,0.6000,0.8309,2026-01-01T16:32:14.733112
186500,4.747958,115.35,,,2026-01-01T16:35:20.140302
187000,4.453176,85.90,,,2026-01-01T16:38:18.025971
187000,4.453176,85.90,0.6000,0.7163,2026-01-01T16:38:18.142677
187500,4.576682,97.19,,,2026-01-01T16:41:22.528862
188000,4.343886,77.01,,,2026-01-01T16:44:20.158077
188000,4.343886,77.01,0.6000,0.6888,2026-01-01T16:44:20.278427
188500,4.359781,78.24,,,2026-01-01T16:47:24.903034
189000,4.315285,74.83,,,2026-01-01T16:50:22.698199
189000,4.315285,74.83,0.6000,0.9400,2026-01-01T16:50:22.800506
189500,4.293511,73.22,,,2026-01-01T16:53:25.628064
190000,4.206742,67.14,,,2026-01-01T16:56:23.289640
190000,4.206742,67.14,0.6000,0.5940,2026-01-01T16:56:23.410067
190500,4.374900,79.43,,,2026-01-01T16:59:28.140466
191000,4.355224,77.88,,,2026-01-01T17:02:26.070097
191000,4.355224,77.88,0.6000,0.4481,2026-01-01T17:02:26.196528
191500,4.470956,87.44,,,2026-01-01T17:05:30.297565
192000,4.489950,89.12,,,2026-01-01T17:08:27.859244
192000,4.489950,89.12,0.6000,0.8892,2026-01-01T17:08:27.973527
192500,4.465932,87.00,,,2026-01-01T17:11:32.001735
193000,4.524130,92.22,,,2026-01-01T17:14:29.853154
193000,4.524130,92.22,0.6000,0.4855,2026-01-01T17:14:29.973616
193500,4.436911,84.51,,,2026-01-01T17:17:34.626384
194000,4.116050,61.32,,,2026-01-01T17:20:32.330814
194000,4.116050,61.32,0.6000,0.8093,2026-01-01T17:20:32.441556
194500,4.323411,75.45,,,2026-01-01T17:23:35.556130
195000,4.366812,78.79,,,2026-01-01T17:26:33.162650
195000,4.366812,78.79,0.6000,0.6326,2026-01-01T17:26:33.273889
195500,4.305082,74.08,,,2026-01-01T17:29:37.302323
196000,4.234487,69.03,,,2026-01-01T17:32:35.043511
196000,4.234487,69.03,0.8000,0.9628,2026-01-01T17:32:35.153092
196500,4.563785,95.95,,,2026-01-01T17:35:38.152159
197000,4.234444,69.02,,,2026-01-01T17:38:35.797986
197000,4.234444,69.02,0.6000,0.3601,2026-01-01T17:38:35.898141
197500,4.444647,85.17,,,2026-01-01T17:41:40.739633
198000,4.451610,85.76,,,2026-01-01T17:44:38.688911
198000,4.451610,85.76,0.8000,1.1664,2026-01-01T17:44:38.790345
198500,4.347465,77.28,,,2026-01-01T17:47:42.494093
199000,4.312088,74.60,,,2026-01-01T17:50:40.234580
199000,4.312088,74.60,0.4000,0.3037,2026-01-01T17:50:40.335283
199500,4.524060,92.21,,,2026-01-01T17:53:44.302507
200000,4.431917,84.09,,,2026-01-01T17:56:42.093058
200000,4.431917,84.09,0.8000,1.0871,2026-01-01T17:56:42.209449
